Package	Description	Updated_Date
splash	Unsupervised and reference-free unifying framework to discover regulated sequence variation through statistical analysis of k-mer composition in both DNA and RNA sequence.	2024-10-21
taxmyphage	Script to assign taxonomy to a bacteriophage at the genus and species level	2024-10-20
qtlseq	QTL-seq: pipeline to identify causative mutations responsible for a phenotype.	2024-10-18
mutmap	MutMap: pipeline to identify causative mutations responsible for a phenotype.	2024-10-18
biocode	Bioinformatics code libraries and scripts	2024-10-17
rbpbench	Evaluate CLIP-seq and other genomic region data using a comprehensive collection of known RBP binding motifs	2024-10-17
umicollapse	Accelerating the deduplication and collapsing process for reads with Unique Molecular Identifiers (UMI).	2024-10-17
cmat	ClinVar Mapping and Annotation Toolkit	2024-10-17
sourcepredict	Classification and prediction of the origin of metagenomic samples.	2024-10-14
meta_eukaryome_detect	Pathogen Parasite Eukaryote and Virus detection in metagenomes.	2024-10-14
fragpipe	Pipeline for comprehensive analysis of shotgun proteomics data	2024-10-12
sdrf-pipelines	Translate convert SDRF to configuration pipelines	2024-10-12
tbtamr	A tool implementing TB-Profiler for reporting of genomic DST for M. tuberculosis in a CPHL	2024-10-11
sizemeup	A simple tool to determine the genome size of an organism	2024-10-11
pantax	Strain-level taxonomic classification of metagenomic data using pangenome graphs	2024-10-10
get_mnv	Tool to identify Multi-Nucleotide Variants (MNVs) in genomic sequences.	2024-10-08
pgscatalog.match	Tools for matching variants in PGS scoring files and target variant information files.	2024-10-08
viroconstrictor	ViroConstrictor is a flexible pipeline for analysis of targeted viral sequencing data	2024-10-08
mutamr	Stripped down tool for generation of annotated vcf from paired-end reads in a CPHL.	2024-10-08
vitap	Viral Taxonomic Assignment Pipeline	2024-10-07
vclean	vClean: Assessing the contamination of viral genomes	2024-10-07
parebrick	A bioinf tool for finding genome rearrangements in bacterial genomes.	2024-10-07
fastaptamer	A Bioinformatic Toolkit for High-Throughput Sequence Analysis of Combinatorial Selections	2024-10-07
orthofinder	Accurate inference of orthogroups orthologues gene trees and rooted species tree made easy!	2024-10-07
panaroo	panaroo - an updated pipeline for pangenome investigation	2024-10-07
phables	Phables: from fragmented assemblies to high-quality bacteriophage genomes	2024-10-04
protgraph	ProtGraph a graph generator for proteins.	2024-10-04
tracs	Tracs - Fast pairwise transmission inference from single genome and/or metagenomic data	2024-10-03
verkko	A hybrid genome assembly pipeline developed for telomere-to-telomere assembly of accurate (HiFi ONT Duplex ONT HERRO) and long (ONT UL) reads.	2024-10-03
piper	A lightweight python toolkit for gluing together restartable robust command line pipelines	2024-10-02
hsdecipher	Pipeline for the downstream analysis of highly similar duplicate genes	2024-10-02
sphae	Phage toolkit	2024-10-01
spreadgltools	Visualising pathogen dispersal in a high-performance browser application	2024-09-30
baltic	Lightweight package for analyzing manipulating and visualizing annotated phylogenetic trees.	2024-09-27
gbintk	GraphBin-Tk: assembly graph-based metagenomic binning toolkit	2024-09-27
giatools	Tools required for Galaxy Image Analysis	2024-09-27
gget	gget enables efficient querying of genomic databases.	2024-09-26
hopla	Hopla enables classic genomic single duo trio etc. analysis by studying a single (multisample) vcf-file	2024-09-26
metacoag	MetaCoAG: Binning Metagenomic Contigs via Composition Coverage and Assembly Graphs	2024-09-26
graphbin2	GraphBin2: Refined and Overlapped Binning of Metagenomic Contigs Using Assembly Graphs	2024-09-26
mview	MView extracts and reformats the results of a sequence database search or multiple alignment.	2024-09-25
recentrifuge	Robust comparative analysis and contamination removal for metagenomics	2024-09-25
mgatk	Mitochondrial genome analysis toolkit.	2024-09-23
macrel	A pipeline for AMP (antimicrobial peptide) prediction	2024-09-23
tooldistillator	Tool to extract and aggregate information from different tool outputs to JSON parsable files	2024-09-23
reneo	Reneo: Unraveling Viral Genomes from Metagenomes	2024-09-23
bactopia	Bactopia is a flexible pipeline for complete analysis of bacterial genomes.	2024-09-22
eukfinder	Eukfinder is a tool for detecting eukaryotic sequences in metagenomic data.	2024-09-21
bactopia-qc	The methods used in Bactopia for read QC	2024-09-21
phylodeep	Deep-learning parameter estimation and model selection from phylogenetic trees.	2024-09-20
busco_phylogenomics	Utility script to construct species phylogenies using BUSCO proteins.	2024-09-20
dfast_qc	DFAST_QC: Taxonomy and completeness check for prokaryotic genomes	2024-09-19
pydamage	Damage parameter estimation for ancient DNA	2024-09-19
pastml	Ancestral character reconstruction and visualisation for rooted phylogenetic trees.	2024-09-18
genomepy	Install and use genomes & gene annotations the easy way!	2024-09-17
hylight	Strain aware assembly of low coverage metagenomes.	2024-09-17
transanno	accurate VCF/GFF3/GTF LiftOver tool for new genome assemblies	2024-09-17
pathphynder	A workflow for ancient DNA placement into reference phylogenies.	2024-09-17
zga	Prokaryotic genome assembly and annotation pipeline	2024-09-13
bioconvert	Convert between bioinformatics formats	2024-09-13
anglerfish	Anglerfish a tool to demultiplex Illumina libraries from ONT data	2024-09-13
checkqc	A simple program to parse Illumina NGS data and check it for quality criteria.	2024-09-12
diphase	A diploid genome phasing tool	2024-09-11
xengsort	A fast xenograft read sorter based on space-efficient k-mer hashing	2024-09-10
freebayes	Bayesian haplotype-based polymorphism discovery and genotyping	2024-09-10
perl-mce-shared	MCE extension for sharing data supporting threads and processes	2024-09-10
graphmap	A highly sensitive and accurate mapper for long error-prone reads	2024-09-09
annonars	Genome annotation based on Rust and RocksDB.	2024-09-06
cami-amber	AMBER: Assessment of Metagenome BinnERs	2024-09-06
handyreadgenotyper	Tool for training model and classifying reads from environmental ONT amplicon sequencing.	2024-09-05
allo	Multi-mapped read rescue strategy for gene regulatory analyses	2024-09-05
clipandmerge	Clip&Merge is a tool to clip off adapters from sequencing reads and merge overlapping paired end reads together.	2024-09-05
dedup	DeDup is a tool for read deduplication in paired-end read merging (e.g. for ancient DNA experiments).	2024-09-05
beacon2-import	Seamlessly import and query genomic variant data from a beacon	2024-09-04
jvarkit	Java utilities for Bioinformatics.	2024-09-03
beav	beav: Bacterial genome and mobile element annotation pipeline	2024-09-02
wfmash	a pangenome-scale aligner	2024-09-02
samestr	SameStr identifies shared strains between pairs of metagenomic samples based on the similarity of SNV profiles.	2024-08-30
kegalign-full	KegAlign: A Scalable GPU-Based Whole Genome Aligner	2024-08-29
sepp	SATe-enabled phylogenetic placement	2024-08-29
pygcap	Python package for probe-based gene cluster finding in large microbial genome database.	2024-08-28
maegatk	Mitochondrial Alteration Enrichment and Genome Analysis Toolkit	2024-08-27
argnorm	Normalize antibiotic resistance genes (ARGs) abundance tables (e.g. from metagenomics) by using the ARO ontology (developed by CARD).	2024-08-26
gapseq	Informed prediction and analysis of bacterial metabolic pathways and genome-scale networks	2024-08-26
sccmec	A tool for typing SCCmec cassettes in assemblies	2024-08-25
camlhmp	Classification through yAML Heuristic Mapping Protocol	2024-08-25
metacerberus-lite	MetaCerberus with reduced dependencies: Versatile Functional Ontology Assignments for Metagenomes via Hidden Markov Model (HMM) searching with environmental focus of shotgun meta'omics data	2024-08-24
metacerberus	Versatile Functional Ontology Assignments for Metagenomes via Hidden Markov Model (HMM) searching with environmental focus of shotgun meta'omics data	2024-08-24
pling	Pling computes the rearrangement distance between plasmids and clusters on their basis	2024-08-24
bpipe	Bpipe - a tool for running and managing bioinformatics pipelines	2024-08-23
popoolation2	PoPoolation2 allows to compare allele frequencies for SNPs between two or more populations and to identify significant differences.	2024-08-22
snakemake-executor-plugin-tes	A Snakemake executor plugin for submitting jobs to a GA4GH TES cluster.	2024-08-22
pathogen-embed	Create reduced dimension embeddings for pathogen sequences	2024-08-22
cami-opal	OPAL assesses and compares the performance of taxonomic metagenome profilers.	2024-08-21
strdust	Tandem repeat genotyper for long reads.	2024-08-21
cloci	Co-occurrence Locus and Orthologous Cluster Identifier	2024-08-20
abritamr	Running AMRFinderPlus for MDU	2024-08-20
snakemake-storage-plugin-fs	A Snakemake storage plugin that reads and writes from a locally mounted filesystem using rsync	2024-08-19
segalign-galaxy	SegAlign: A Scalable GPU-Based Whole Genome Aligner	2024-08-19
segalign-full	SegAlign: A Scalable GPU-Based Whole Genome Aligner	2024-08-19
plasnet	Clustering visualising and exploring plasmid networks	2024-08-19
graphbin	GraphBin: Refined binning of metagenomic contigs using assembly graphs	2024-08-19
alen	Simple terminal sequence alignment viewer	2024-08-19
haplotaglr	Haplotagging individual long reads using known haplotype information.	2024-08-16
metabinner	Ensemble binning method to recover individual genomes from complex microbial communities	2024-08-16
roadies	Reference-free Orthology-free Alignment-free DIscordance aware Estimation of Species tree (ROADIES)	2024-08-15
tcdemux	Demultiplex files and prepare reads for the target capture analysis pipeline.	2024-08-13
phyloaln	PhyloAln: a reference-based multiple sequence alignment tool for phylogeny	2024-08-13
hairsplitter	Recovers collapsed haplotypes from a draft assembly and long reads	2024-08-12
phylofisher	A package for the creation analysis and visualization of eukaryotic phylogenomic datasets.	2024-08-12
gofasta	Genomic epidemiology utilities for short genome alignments	2024-08-11
treetime	Maximum-Likelihood dating and ancestral inference for phylogenetic trees	2024-08-11
pyani	pyani provides a package and script for calculation of genome-scale average nucleotide identity.	2024-08-09
nanoplot	Plotting suite for long read sequencing data and alignments	2024-08-09
dingii	Computing the Rearrangement Distance of Natural Genomes.	2024-08-09
resfinder	ResFinder identifies acquired antimicrobial resistance genes in total or partial sequenced isolates of bacteria.	2024-08-09
fraposa-pgsc	Tools to perform ancestry projection to a reference dataset within the calculator pipeline (pgsc_calc)	2024-08-08
picrust2	PICRUSt: Phylogenetic Investigation of Communities by Reconstruction of Unobserved States	2024-08-08
sonicparanoid	SonicParanoid: fast accurate and comprehensive orthology inference with machine learning and language models	2024-08-07
bcgtree	Automatized phylogenetic tree building from bacterial core genomes	2024-08-07
bamdash	Aggregate pathogen NGS results into an interactive plot	2024-08-07
pybdei	Maximum likelihood estimation of Birth-Death Exposed-Infectious (BDEI) epidemiological model parameters from phylogenetic trees.	2024-08-07
snakemake-storage-plugin-azure	A Snakemake storage plugin to read and write from Azure Blob Storage	2024-08-06
phylodeep_data_bdss	Package containing data for the phylodeep package.	2024-08-06
cospar	A toolkit for dynamic inference of cell fate by integrating state and lineage information.	2024-08-06
phylodeep_data_bdei	Package containing data for the phylodeep package.	2024-08-06
phylodeep_data_bd	Package containing data for the phylodeep package.	2024-08-06
pbptyper	In silico Penicillin Binding Protein (PBP) typer for Streptococcus pneumoniae assemblies	2024-08-06
bam-readcount	bam-readcount generates metrics at single nucleotide positions.	2024-08-05
seqnado	Pipelines for genomics analysis	2024-08-02
carveme	CarveMe: automated genome-scale metabolic model reconstruction	2024-08-02
ncbi-fcs-gx	The NCBI Foreign Contamination Screen. Genomic cross-species aligner for contamination detection.	2024-08-01
r-ichorcna	Estimating tumor fraction in cell-free DNA from ultra-low-pass whole genome sequencing.	2024-08-01
snakeatac_env	snakemake based ATACseq pipeline	2024-07-31
bigslice	A highly scalable user-interactive tool for the large scale analysis of Biosynthetic Gene Clusters data.	2024-07-31
codoff	codoff: program to measure the irregularity of the codon usage for a single genomic region (e.g. a BGC phage etc.) relative to the full genome.	2024-07-31
bio	Command-line utilities to make bioinformatics explorations more enjoyable.	2024-07-30
neodisambiguate	Disambiguate reads that were mapped to multiple references.	2024-07-28
morpheus	mass spectrometry–based proteomics database search algorithm	2024-07-25
eskrim	ESKRIM: EStimate with K-mers the RIchness in a Microbiome	2024-07-24
amdirt	AMDirT: AncientMetagenomeDir Toolkit	2024-07-24
chronumental	Make time trees from large phylogenetic divergence trees	2024-07-22
ymp	Create entire NGS pipelines with one command	2024-07-19
gia	Genomic Interval Arithmetic (gia)	2024-07-19
ggcaller	A de Bruijn graph-based gene-caller and pangenome analysis tool	2024-07-19
scrubby	Read depletion/extraction and database cleaning using k-mer and alignment methods	2024-07-19
defense-finder	Defense Finder: allow for a systematic search of all known anti-phage systems.	2024-07-19
tmhg	tMHG-Finder is a tree-guided tool to partition whole genomes into maximal homologous groups.	2024-07-19
r-ldweaver	Perform genomewide epistasis analysis by evaluating the LD structure in bacteria.	2024-07-19
paragone	Identify ortholog groups from a set of paralog sequences from multiple taxa.	2024-07-19
clermontyping	determine the Clermont  E coli phylotype	2024-07-18
jupiterplot	Circos Assembly Consistency (Jupiter) plot	2024-07-18
cancerit-allelecount	Support code for NGS copy number algorithms	2024-07-17
liftoff	An accurate GFF3/GTF lift over pipeline	2024-07-16
graftm	GraftM is a pipeline used for identifying and classifying marker gene reads from metagenomic datasets	2024-07-16
bioconductor-maaslin2	Multivariable Association Discovery in Population-scale Meta-omics Studies	2024-07-15
phold	Phage annotation using protein structures	2024-07-13
aniclustermap	A tool for drawing ANI clustermap between all-vs-all microbial genomes	2024-07-13
nextalign	Viral genome alignment	2024-07-11
nextclade2	Viral genome alignment mutation calling clade assignment quality checks and phylogenetic placement	2024-07-10
physher	A multi-algorithmic framework for phylogenetic inference	2024-07-10
phylornn	PhyloRNN	2024-07-09
ufcg	UFCG pipeline provides methods for a genome-wide taxonomic profiling and annotation of your own biological sequences of Fungi.	2024-07-08
syny	Genome collinearity inferences	2024-07-06
harmonypy	A data integration algorithm.	2024-07-05
svist4get	A simple visualization tool for genomic tracks from sequencing experiments	2024-07-03
pyclone-vi	A fast method for inferring clonal population structure	2024-07-03
bwakit	A self-consistent installation-free package of scripts and precompiled binaries providing an end-to-end solution to read mapping	2024-07-02
gangstr	GangSTR is a tool for genome-wide profiling tandem repeats from short reads.	2024-06-28
tetrimmer	TETrimmer is designed to replace and assist TE manual curation.	2024-06-28
bohra	Pipeline for analysing Illumina data for microbiological public health.	2024-06-28
tandem-genotypes	"Find tandem repeat length changes from ""long"" DNA reads aligned to a genome"	2024-06-25
snakemake-storage-plugin-zenodo	A Snakemake storage plugin for reading from and writing to zenodo.org	2024-06-24
artic-tools	A set of tools for working with the ARTIC bioinformatic pipeline.	2024-06-21
concoct	Clustering cONtigs with COverage and ComposiTion	2024-06-21
bioframe	Pandas utilities for tab-delimited and other genomic files	2024-06-20
ciri-full	Full length circRNA reconstruction and quantification using BSJ and reverse overlap (RO) features.	2024-06-19
seqverify	Seqverify analyzes whole genome sequencing data for gene-editing verification.	2024-06-18
clever-toolkit	The clever toolkit (CTK) is a suite of tools to analyze next-generation sequencing data and in particular to discover and genotype insertions and deletions from paired-end reads.	2024-06-18
r-circrnafull	An R package for reconstruction of full length circRNA sequence using chimeric alignment information	2024-06-18
jccirc	circRNA assembler through integrated junction contigs	2024-06-17
pyplink	Python module to read binary Plink files.	2024-06-17
pypgx	A Python package for pharmacogenomics research	2024-06-16
fuc	Frequently used commands in bioinformatics	2024-06-15
autometa	Automated extraction of genomes from shotgun metagenomes	2024-06-14
tcfinder	A lightweight tool to find clusters of samples within a phylogeny.	2024-06-14
moments	Evolutionary inference using SFS and LD statistics.	2024-06-13
metagraph	Ultra Scalable Framework for DNA Search Alignment Assembly	2024-06-13
jcvi	Python utility libraries on genome assembly annotation and comparative genomics	2024-06-13
bamsurgeon	Tools for adding genomic variants to BAM/SAM/CRAM files. Can be used to test variant callers.	2024-06-13
genomelake	Simple and efficient random access to genomic data for deep learning models.	2024-06-12
genometools-genometools	GenomeTools genome analysis system.	2024-06-12
mmlong2	An all-in-one genome-centric metagenomics workflow using long reads	2024-06-12
sortmerna	SortMeRNA is a biological sequence analysis tool for filtering mapping and OTU-picking NGS reads.	2024-06-12
ngs-smap	SMAP is an analysis tool for stack-based NGS read mapping	2024-06-12
rlpipes	A standardized R-loop-mapping pipeline	2024-06-12
pyranges	Performant Pythonic GenomicRanges	2024-06-12
elprep	elPrep is a high-performance tool for preparing .sam/.bam files for variant calling in sequencing pipelines. It can be used as a drop-in replacement for SAMtools/Picard/GATK4.	2024-06-11
ffgc	Family Free Genome Comparison (FFGC) workflow	2024-06-10
checkm2	Assessing the quality of metagenome-derived genome bins using machine learning.	2024-06-10
strcount	A package to count the number of repeats in a Short Tandem Repeat Expansion from long reads.	2024-06-09
unikmer	A versatile toolkit for k-mers with taxonomic information	2024-06-09
elector	ELECTOR EvaLuator of Error Correction Tools for lOng Reads	2024-06-09
pgr-tk	A PanGenomic Research Took Kit. This repository is a project to provide Python and Rust libraries to facilitate pangenomics analysis.	2024-06-08
cialign	Toolkit for cleaning and interpreting multiple sequence alignments	2024-06-07
icescreen	ICEscreen detects and annotates ICEs (Integrative and Conjugative Elements) and IMEs (Integrative and Mobilizable Elements) in Bacillota genomes.	2024-06-06
bioconductor-iclusterplus	Integrative clustering of multi-type genomic data	2024-06-06
hapog	Haplotype-Aware Polishing of Genomes	2024-06-06
graphembed	Efficient and Robust Graph Embedding via High-Order Proximity Preservation or Recursive Sketching	2024-06-06
ariba	ARIBA: Antibiotic Resistance Identification By Assembly	2024-06-05
crocodeel	CroCoDeEL is a tool that detects cross-sample contamination in shotgun metagenomic data	2024-06-05
commet	Comparing and combining multiple metagenomic datasets	2024-06-05
npinv	an accurate tool for detecting and genotyping inversion using multiple alignment long reads	2024-06-05
squeakr	An Exact and Approximate k-mer Counting System	2024-06-04
assemblycomparator2	assemblycomparator2: Compare prokaryotic genomic assemblies	2024-06-04
dawg	DNA Assembly with Gaps (Dawg) is an application designed to simulate the evolution of recombinant DNA sequences in continuous time based on the robust general time reversible model with gamma and invariant rate heterogeneity and a novel length-dependent model of gap formation.	2024-06-04
cassiopee	scan an input genomic sequence (dna/rna/protein) and search for a subsequence with exact match or allowing substitutions (Hamming distance) and/or insertion/deletions	2024-06-04
bandage_ng	Bandage - a Bioinformatics Application for Navigating De novo Assembly Graphs Easily	2024-06-04
batch_brb	A tool for the automation of best reciprocal BLAST and phylogenetic analysis using FastTree.	2024-06-04
mob_suite	MOB-suite is a set of tools for finding typing and reconstruction of plasmids from draft and complete genome assemblies.	2024-06-04
primerforge	primerForge: software to identify primers that can be used to distinguish genomes	2024-06-03
bacpage	An easy-to-use pipeline for the assembly and analysis of bacterial genomes	2024-06-03
funannotate	funannotate: eukaryotic genome annotation pipeline	2024-06-03
snakemake-executor-plugin-lsf	A Snakemake executor plugin for submitting jobs to a LSF cluster.	2024-06-03
ervdetective	An efficient pipeline for identification and annotation of endogenous retroviruses (ERVs).	2024-06-03
sspace_basic	Scaffolding Pre-Assemblies After Contig Extension (SSPACE)	2024-06-03
dodge	Dynamic Outbreak Detection for Genomic Epidemiology. Automated point source bacterial outbreak detection using cumulative long term genomic surveillance.	2024-06-03
hmftools-mark-dups	Mark read duplicates and form consenus sequences	2024-05-31
perl-spreadsheet-parseexcel	Read information from an Excel file.	2024-05-31
kinship-read	Relationship Estimation from Ancient DNA version 2 (READv2)	2024-05-30
bioconductor-esatac	An Easy-to-use Systematic pipeline for ATACseq data analysis	2024-05-30
bioconductor-contibait	Improves Early Build Genome Assemblies using Strand-Seq Data	2024-05-30
drop	Detection of RNA Outlier Pipeline	2024-05-29
bioconductor-exomecopy	Copy number variant detection from exome sequencing read depth	2024-05-28
bioconductor-bdmmacorrect	Meta-analysis for the metagenomic read counts data from different cohorts	2024-05-28
bioconductor-grohmm	GRO-seq Analysis Pipeline	2024-05-28
rabbittclust	RabbitTClust enables fast clustering analysis of millions bacteria genomes with MinHash sketches	2024-05-28
metaphlan	Metagenomic Phylogenetic Analysis	2024-05-27
hmftools-sv-prep	SV Prep generates a maximally filtered SV BAM file by identifying candidate SV junctions and extracting all reads that may provide support to that junction.	2024-05-26
rnavirhost	RNAVirHost: a machine learning-based method for predicting hosts of RNA viruses through viral genomes	2024-05-25
naibr-plus	Identify novel adjacencies created by structural variations using linked-read data	2024-05-23
krakenuniq	Metagenomics classifier with unique k-mer counting for more specific results	2024-05-23
kpop	An assembly-free and scalable method for the comparative analysis of microbial genomes based on full k-mer spectra and dataset-specific transformations.	2024-05-09
rebar	Genomic recombination detection using mutational barcodes.	2024-05-08
mockinbird	A fully automatic and reproducible PAR-CLIP analysis pipeline	2024-05-07
r-pathfindr	Enrichment analysis enables researchers to uncover mechanisms underlying a phenotype. However conventional methods for enrichment analysis do not take into account protein-protein interaction information resulting in incomplete conclusions. pathfindR is a tool for enrichment analysis utilizing active subnetworks. The main function identifies active subnetworks in a protein-protein interaction network using a user-provided list of genes and associated p values. It then performs enrichment analyses on the identified subnetworks identifying enriched terms (i.e. pathways or more broadly gene sets) that possibly underlie the phenotype of interest. pathfindR also offers functionalities to cluster the enriched terms and identify representative terms in each cluster to score the enriched terms per sample and to visualize analysis results. The enrichment clustering and other methods implemented in pathfindR are described in detail in Ulgen E Ozisik O Sezerman OU. 2019. pathfindR: An R Package for Comprehensive Identification of Enriched Pathways in Omics Data Through Active Subnetworks. Front. Genet. <doi:10.3389/fgene.2019.00858>.	2024-05-06
genotyphi	Assign genotypes to Salmonella Typhi genomes based on VCF files (mapped to Typhi CT18 reference genome)	2024-05-03
trimnami	Read-trimming pipelines for multiple samples	2024-05-02
gimbleprep	Preprocess fasta bam and vcf files ready to be used by gimble	2024-05-01
mitos	MITOS is a tool for the annotation of metazoan mitochondrial genomes.	2024-05-01
clipkit	Alignment trimming software for phylogenetics.	2024-04-29
ripcal	RIPCAL is used for the bioinformatic analysis of repeat-induced point mutation (RIP) in fungal genome sequences	2024-04-29
sequenoscope	sequenoscope is a versatile bioinformatic pipeline for the analysis of sequencing data.	2024-04-25
pyensembl	Python interface to ensembl reference genome metadata	2024-04-25
gemini	a lightweight db framework for disease and population genetics.	2024-04-25
phynteny	Phynteny: Synteny-based prediction of bacteriophage genes	2024-04-24
dnarrange	"Find rearrangements in ""long"" DNA reads relative to a genome sequence"	2024-04-24
goleft	goleft is a collection of bioinformatics tools distributed under MIT license in a single static binary	2024-04-22
exonerate	Exonerate - A generic tool for pairwise sequence comparison / alignment	2024-04-21
jolytree	Fast alignment-free phylogenetic reconstruction from genome sequences	2024-04-19
malva	genotyping by Mapping-free ALternate-allele detection of known VAriants	2024-04-18
segzoo	System for turnkey analysis of semi-automated genome annotations	2024-04-18
poly-qtlseq	PolyploidQtlSeq is a program that extends QTL-seq for polyploid F1 populations.	2024-04-16
helitronscanner	HelitronScanner uncovers a large overlooked cache of Helitron transposons in many genomes	2024-04-14
igfinder	A tool to extract Igh and Igl/Igk gene sequences from assembled transcripts	2024-04-14
perl-parallel-loops	Execute loops using parallel forked subprocesses	2024-04-13
vgan	Suite of tools for pangenomics built using vg	2024-04-12
snakemake-executor-plugin-slurm-jobstep	A Snakemake executor plugin for running srun jobs inside of SLURM jobs (meant for internal use by snakemake-executor-plugin-slurm)	2024-04-12
getorganelle	Get organelle genomes from genome skimming data	2024-04-10
gmsc-mapper	GMSC-mapper is a command line tool to query the Global Microbial smORFs Catalog (GMSC).	2024-04-09
seqsero2	Salmonella serotype prediction from genome sequencing data	2024-04-08
ccmetagen	CCMetagen: comprehensive and accurate identification of eukaryotes and prokaryotes in metagenomic data.	2024-04-08
arborator	Arborator: Simplifying operationalized pathogen surveillance and outbreak detection	2024-04-04
megahit	MEGAHIT: An ultra-fast single-node solution for large and complex	
metagenomics assembly via succinct de Bruijn graph	2024-04-04	
amplify	Attentive deep learning model for antimicrobial peptide prediction	2024-04-04
igv	Integrative Genomics Viewer. Fast efficient scalable visualization tool for genomics	
data and annotations.	2024-04-04	
gatk	The full Genome Analysis Toolkit (GATK) framework v3	2024-04-03
cgatcore	CGAT : the Computational Genomics Analysis Toolkit	2024-04-02
bioconductor-cellhashr	An R package designed to demultiplex cell hashing data.	
    More information in https://bimberlab.github.io/cellhashR/Lab B (2024). 		
   cellhashR: A Package for Demultiplexing Cell Hashing Data.	2024-04-01	
hybran	Comparative prokaryotic genome annotation	2024-03-30
bcftools-gtc2vcf-plugin	Tools to convert Illumina and Affymetrix array intensity data files into VCF files.	2024-03-29
stecfinder	Cluster informed Shigatoxin producing E. coli (STEC) serotyping tool from Illumina reads and assemblies	2024-03-29
abromics_galaxy_json_extractor	Tool to convert Galaxy AMR output to abromics project	2024-03-28
checkv	Assess the quality of metagenome-assembled viral genomes.	2024-03-27
magus-msa	Multiple Sequence Alignment using Graph Clustering	2024-03-27
dram	Distilled and Refined Annotation of Metabolism: A tool for the annotation and curation of function for microbial and viral genomes	2024-03-25
bactopia-assembler	The assembly process used by Bactopia.	2024-03-25
taxor	Fast and space-efficient taxonomic classification of long reads	2024-03-24
reviewer	A tool for visualizing alignments of reads in regions containing tandem repeats	2024-03-23
mugsy	Mugsy is a multiple whole genome aligner.	2024-03-21
lamassemble	"Merge overlapping ""long"" DNA reads into a consensus sequence"	2024-03-15
campygstyper	Accurate assignment of ANI genomic species to Campylobacter genomes.	2024-03-14
orthoflow	Orthoflow is a workflow for phylogenetic inference of genome-scale datasets of protein-coding genes.	2024-03-14
segmetrics	A Python package implementing image segmentation and object detection performance measures for biomedical image analysis and beyond.	2024-03-14
mafft	Multiple alignment program for amino acid or nucleotide sequences based on fast Fourier transform	2024-03-14
treesap	TreeSAP: Tree SAmpling under Phylogenetic models	2024-03-13
snakemake-executor-plugin-cluster-sync	A Snakemake executor plugin for cluster jobs that are executed synchronously.	2024-03-12
viralmsa	Reference-guided multiple sequence alignment of viral genomes	2024-03-12
snakemake-executor-plugin-cluster-generic	Generic cluster executor for Snakemake	2024-03-11
virstrain	An RNA/DNA virus strain-level identification tool for short reads.	2024-03-10
plassembler	Quickly and accurately assemble plasmids in hybrid sequenced bacterial isolates	2024-03-08
mg-toolkit	Metagenomics toolkit.	2024-03-07
phylophlan	Precise phylogenetic analysis of microbial isolates and genomes from metagenomes	2024-03-06
dosage_score	Dosage-score: pipline to estimate dosage of each genomic region	2024-03-06
mercat2	versatile k-mer counter and diversity estimator for database independent property analysis (DIPA) for multi-omic analysis	2024-03-05
biodigest	In silico Validation of Disease and Gene Sets Clusterings or Subnetworks (DIGEST)	2024-03-05
jronn	JRONN is based on the C implementation of RONN algorithm.	2024-03-04
ionquant	A label free quantification tool	2024-03-02
drep	De-replication of microbial genomes assembled from multiple samples	2024-03-01
circulocov	CirculoCov is a Python tool designed for circular-aware coverage analysis of draft genomes	2024-02-29
magic-impute	Markov Affinity-based Graph Imputation of Cells	2024-02-29
gecco	Biosynthetic Gene Cluster prediction with Conditional Random Fields.	2024-02-28
piscem-infer	piscem-infer is a flexible tool to perform target quantification from bulk-sequencing data	2024-02-26
cobra-meta	COBRA is a tool to get higher quality viral genomes assembled from metagenomes.	2024-02-26
dudes	DUDes: a top-down taxonomic profiler for metagenomics and metaproteomics	2024-02-22
biocommons.seqrepo	Python package for writing and reading a local collection of biological sequences.	2024-02-20
mirmachine	A command line to tool detect miRNA homologs in genome sequences.	2024-02-19
braker3	BRAKER3 is the latest pipeline in the BRAKER suite	2024-02-18
bigscape	Biosynthetic Genes Similarity Clustering and Prospecting Engine.	2024-02-16
badread	A long read simulator that can imitate many types of read problems	2024-02-16
terrace	TERRACE is an assembler for circular RNAs.	2024-02-15
antismash	antiSMASH - the antibiotics and Secondary Metabolite Analysis SHell	2024-02-14
pytransaln	Translation-guided nucleotide alignment for coding sequences	2024-02-10
purge_haplotigs	Pipeline to help with curating heterozygous diploid genome assemblies.	2024-02-09
koverage	Read-coverage statistics pipelines for multiple samples	2024-02-08
snaketool-utils	Utility functions for Snaketool CLI for bioinformatics tools	2024-02-08
degenotate	Annotation of degeneracy of sites in coding regions of a genome	2024-02-05
novoplasty	The organelle assembler and heteroplasmy caller	2024-02-05
megan	A tool for studying the taxonomic content of a set of DNA reads	2024-02-01
strainscan	One efficient and accurate strain-level microbiome composition analysis tool based on reference genomes and k-mers.	2024-02-01
malt	A tool for mapping metagenomic data	2024-02-01
comebin	COMEBin allows effective binning of metagenomic contigs using COntrastive Multi-viEw representation learning	2024-01-27
memote	the genome-scale metabolic model test suite	2024-01-27
cgt	Calculate a core genome threshold (cgt) from metagenome data	2024-01-25
sativa	SATIVA Semi-Automatic Taxonomy Improvement and Validation Algorithm	2024-01-25
dnoise	Denoise sequence data sets from Illumina using distance corrected according to the entropy of each codon position	2024-01-24
