Package_Name	Description	Updated_Date
fastv	An ultra-fast tool for identification of SARS-CoV-2 and other microbes from sequencing data.	2023-10-27
auriclass	AuriClass is a tool for quickly predicting the clade of a Candida auris genome.	2023-10-27
r-phewas	Phenome Wide Association Studies (PheWAS) - Functions to perform Phenome Wide Association Studies (PheWAS). These functions include the conversion of ICD9 codes to PheWAS codes (v1.2), statistical analysis, and plotting.	2023-10-26
gndiff	GNdiff compares scientific names from two files	2023-10-25
mashtree	Create a tree using Mash distances	2023-10-24
mavis-config	Config validation for running MAVIS via Snakemake	2023-10-23
repeatmodeler	RepeatModeler is a de-novo repeat family identification and modeling package.	2023-10-23
repeatmasker	RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.	2023-10-22
panacus	panacus is a tool for computing counting statistics for GFA files	2023-10-20
redundans	Redundans is a pipeline that assists an assembly of heterozygous/polymorphic genomes.	2023-10-18
metapi	A general metagenomics data mining system focus on robust microbiome research	2023-10-18
nii2dcm	nii2dcm: NIfTI to DICOM creation with Python	2023-10-18
fcsparser	A python package for reading raw fcs files	2023-10-17
snpsift	Toolbox that allows you to filter and manipulate annotated files	2023-10-17
pneumo-typer	Pneumo-Typer is a fast and simple-to-use tool for predicting serotype and determining sequence type (St/cgSt) for Streptococcus pneumoniae.	2023-10-16
fiji-morpholibj	MorphoLibJ is a collection of mathematical morphology methods and plugins for ImageJ, created at INRA-IJPB Modeling and Digital Imaging lab.	2023-10-16
noise2read	Turn noise to read	2023-10-07
biocantor	Coordinate Maniuplation and Genome Annotation Data Model	2023-10-07
cascade-config	Cascading configuration from the CLI and config files.	2023-10-06
r-acidmarkdown	Toolkit for extending the functionality of R Markdown.	2023-10-06
hafez	A tool for identifying active prophage elements through read mapping	2023-10-04
ksw	Ksw: (interactive) smith-waterman in C	2023-10-04
bactopia-sketcher	Methods used by Bactopia for minmer sketching	2023-10-03
ice-cream	ICEcream: Integrative and Conjugative Elements Classification and gRaphical gEne Arrangement Method	2023-10-03
demultiplexer	python tool to demultiplex illumina reads tagged with the leeselab tagging scheme	2023-10-03
lrtk	This is a unified and versatile ToolKit for analyzing Linked-Read sequencing data.	2023-10-02
smashpp	A fast tool to find and visualize rearrangements in DNA sequences	2023-09-29
metaprokka	A fork of Prokka using Prodigal-GV for phage annotation and metagenome/metavirome tweaks	2023-09-26
ninja-nj	Nearly Infinite Neighbor Joining Application	2023-09-22
daligner	DALIGNER: Find all significant local alignments between reads	2023-09-20
aquamis	AQUAMIS is a snakemake pipeline for routine assembly and quality assessment of microbial isolate sequencing experiments.	2023-09-20
kmcp	accurate metagenomic profiling of both prokaryotic and viral populations by pseudo-mapping	2023-09-20
opentargets-validator	Evidence validation at targetvalidation.org	2023-09-19
constax	A software for accurate taxonomic classification of environmental DNA markers	2023-09-17
mutmap	MutMap: pipeline to identify causative mutations responsible for a phenotype	2023-09-14
agfusion	Python package to annotate and visualize gene fusions.	2023-09-14
control-freec	Copy number and genotype annotation from whole genome and whole exome
sequencing data.	2023-09-13
isatools	Metadata tracking tools help to manage an increasingly diverse set of life science, environmental and biomedical experiments	2023-09-12
gentle	Software suite for DNA cloning	2023-09-11
microbecensus	A command-line tool for estimating average genome size from shotgun sequence data	2023-09-10
sam-algorithm	The Self-Assembling-Manifold algorithm	2023-09-07
veryfasttree	VeryFastTree -- speeding up the estimation of phylogenies for large alignments through parallelization and vectorization strategies	2023-09-06
taxtastic	Tools for taxonomic naming and annotation	2023-09-06
rich-msa	A Rich renderable for viewing Multiple Sequence Alignments in the terminal.	2023-09-06
cytosnake	Orchestrating high-dimensional cell morphology data processing pipelines	2023-09-06
python-nextflow	Python module to run Nextflow pipelines	2023-09-06
lca	LCA - Lowest Common Ancestor calculation tool	2023-09-06
ngscheckmate	Software package for identifying next generation sequencing (NGS) data files from the same individual.	2023-09-04
sfs	CLI tool for site frequency spectra.	2023-09-01
quantiprot	Quantiprot is a Python package for quantitative analysis of protein sequences	2023-09-01
metasnek	Misc functions for metagenomics pipelines	2023-08-30
pileuppy	Colorful and fast tool designed to draw alignment pileup.	2023-08-29
eggnog-mapper	Fast genome-wide functional annotation through orthology assignment.	2023-08-18
irf	Inverted Repeats Finder is a program that detects approximate inverted repeats.	2023-08-13
bactopia-qc	The methods used in Bactopia for read QC	2023-08-11
bactopia-gather	The methods used in Bactopia to gather all samples into one place	2023-08-11
fastq-dl	A tool to download FASTQs associated with Study, Experiment, or Run accessions.	2023-08-11
gfflu	Annotate Influenza A virus gene segment sequences and output GFF3 files.	2023-08-10
panoptes-ui	panoptes: monitor computational workflows in real time	2023-08-08
perl-uri-nested	Nested URIs	2023-08-06
perl-module-scandeps	Recursively scan Perl code for dependencies	2023-08-04
spclust	Spectral clustering for biological sequences	2023-08-04
conifer	Calculate confidence scores from Kraken2 output	2023-08-03
dnacauldron	Cloning simulation for DNA assembly (Golden Gate, Gibson...)	2023-07-30
referee	Quality scoring for reference genomes	2023-07-24
polystest	Interactive tool for statistical testing, data browsing and interactive visualization of quantitative omics data	2023-07-23
r-metadig	A set of utility methods for authoring MetaDIG checks in R.	2023-07-23
bioconductor-reusedata	Reusable and reproducible Data Management	2023-07-19
bioconductor-benchdamic	Benchmark of differential abundance methods on microbiome data	2023-07-18
bioconductor-ripat	Retroviral Integration Pattern Analysis Tool (RIPAT)	2023-07-18
bioconductor-condiments	Differential Topology, Progression and Differentiation	2023-07-18
r-qiime2r	Import qiime2 artifacts to R.	2023-07-17
bioconductor-traviz	Trajectory functions for visualization and interpretation.	2023-07-17
bioconductor-ihwpaper	Reproduce figures in IHW paper	2023-07-17
bioconductor-refplus	A function set for the Extrapolation Strategy (RMA+) and Extrapolation Averaging (RMA++) methods.	2023-07-17
bioconductor-oder	Optimising the Definition of Expressed Regions	2023-07-16
snakemake-wrapper-utils	A collection of utility functions and classes for Snakemake wrappers.	2023-07-16
kmtricks	A k-mer matrix framework	2023-07-16
peekseq	De novo protein-coding potential calculator using a k-mer approach	2023-07-16
bioconductor-distinct	distinct: a method for differential analyses via hierarchical permutation tests	2023-07-16
r-intlim	Integration of Omics Data Using Linear Modeling	2023-07-16
perl-perldoc	Documentation Framework for Perl	2023-07-16
bioconductor-sispa	SISPA: Method for Sample Integrated Set Profile Analysis	2023-07-15
bioconductor-cepo	Cepo for the identification of differentially stable genes	2023-07-15
msamtools	microbiome-related extension to samtools	2023-07-15
r-umi4c	Process UMI-4C data from scratch to produce nice plots.	2023-07-15
r-bedtoolsr	R package wrapping bedtools	2023-07-15
bioconductor-metagene	A package to produce metagene plots	2023-07-15
bioconductor-rlseq	RLSeq: An analysis package for R-loop mapping data	2023-07-14
bioconductor-rlhub	An ExperimentHub package for accessing processed RLSuite data sets	2023-07-13
replidec	Replication Cycle Decipher for Phages	2023-07-13
bioconductor-pwrewas.data	pwrEWAS.data: Reference data accompanying pwrEWAS	2023-07-13
r-scpred	Bioconda-installable version of scPred cell type classification method.	2023-07-13
r-merge-kallisto	merge_kallisto	2023-07-13
r-tmae	Tests and visualizations for mono-allelicly expressed variants.	2023-07-12
r-mmgenome	Tools for extracting individual genomes from metagenomes	2023-07-12
r-r0	Estimation of R0 and Real-Time Reproduction Number from Epidemics.	2023-07-12
r-sgtr	Visualize population genomics analyses results in R.	2023-07-12
r-abdiv	Alpha and Beta Diversity Measures	2023-07-12
r-qtlseqr	QTLseqr is an R package for QTL mapping using NGS Bulk Segregant Analysis.	2023-07-12
r-metama	Combines either p-values or modified effect sizes from different studies to find differentially expressed genes	2023-07-12
bioconductor-animalcules	Interactive microbiome analysis toolkit	2023-07-11
bioconductor-tscr	A time series clustering package combining slope and Frechet distances	2023-07-11
bioconductor-bigpint	Big multivariate data plotted interactively	2023-07-11
bioconductor-perfect	Permutation filtration for microbiome data	2023-07-11
bioconductor-stroma4	Assign Properties to TNBC Patients	2023-07-10
btyper3	In silico taxonomic classification of Bacillus cereus group isolates using assembled genomes	2023-07-07
selectfasta	FASTA or FASTQ select from a list of header names	2023-07-07
hopla	Hopla enables classic genomic single, duo, trio, etc., analysis, by studying a single (multisample) vcf-file	2023-07-07
bioconductor-ccrepe	ccrepe_and_nc.score	2023-07-07
bioconductor-cnvgears	A Framework of Functions to Combine, Analize and Interpret CNVs Calling Results	2023-07-07
perl-cpan-meta-requirements	a set of version requirements for a CPAN dist	2023-07-07
esviritu	EsViritu: Read mapping pipeline for detection and measurement of virus pathogens from metagenomic or clinical data	2023-07-07
modle	High-performance stochastic modeling of DNA loop extrusion interactions	2023-07-04
perl-statistics-descriptive	Module of basic descriptive statistical functions.	2023-07-02
genericrepeatfinder	Generic Repeat Finder (GRF).	2023-06-30
constellations	Descriptions of constellations of mutations for the SARS-CoV-2 virus	2023-06-29
surpyvor	Evaluating, merging and plotting SV vcf files	2023-06-24
scprep	Tools for loading and preprocessing biological matrices in Python.	2023-06-22
cpc2	Coding Potential Calculator 2 (CPC2)	2023-06-18
brawn	A tool for handling repetitive insertions into sequence alignments	2023-06-18
umicollapse	Accelerating the deduplication and collapsing process for reads with Unique Molecular Identifiers (UMI).	2023-06-18
sourcepredict	Classification and prediction of the origin of metagenomic samples	2023-06-18
pyctv_taxonomy	pyctv_taxonomy: download and use the ICTV Virus Metadata Resource	2023-06-18
drprg	Drug resistance prediction with reference graphs	2023-06-18
bamstats	A command line tool to compute mapping statistics from a BAM file	2023-06-18
fastquast	Fast and simple Quality Assessment Tool for Large Genomes	2023-06-18
quicksnp	A python script to quickly build a Neighbor Joining tree using only a SNP distance matrix.	2023-06-18
pyham	A tool to analyse Hierarchical Orthologous Groups (HOGs)	2023-06-18
mindagap	Takes a single panorama image and fills the empty grid lines with neighbour-weighted values.	2023-06-18
baypass	Genome-Wide Scan for Adaptive Differentiation and Association Analysis with population-specific covariables.	2023-06-18
mmannot	mmannot annotates reads, or quantifies the features.  mmmannot takes special care of multi-mapping reads.	2023-06-18
libshorah	libshorah - Short Reads Assembly into Haplotypes	2023-06-18
shapeit5	Fast and accurate method for estimation of haplotypes (phasing)	2023-06-18
hmnqc	Compute differents metrics about quality, check identity and coverage from high-throughput sequencing provided by targeted NGS	2023-06-18
circle-map-cpp	Circle-Map-cpp is the C++ version of Circle-Map	2023-06-18
nolb	NOn-Linear rigid Block NMA approach (NOLB) is a conceptually simple and computationally efficient method for non-linear normal mode analysis.	2023-06-18
goblin	Generate trusted prOteins to supplement BacteriaL annotatIoN	2023-06-18
purge-dups-runner	High Performance Cluster (HPC) runner.	2023-06-18
updio	UPDio is designed to identify uniparental disomy in probands of trio VCF data.	2023-06-18
fastsimcoal2	fast sequential markov coalescent simulation of genomic data under complex evolutionary models	2023-06-18
gapless	gapless assembly improvement tool	2023-06-18
asgal	A graph aligner	2023-06-18
perl-bio-rna-treekin	Classes for working with Treekin output.	2023-06-18
forwardgenomics	Forward Genomics is a framework to associate phenotypic differences between species to differences in their genomes	2023-06-18
rock	ROCK - Reducing Over-Covering K-mers	2023-06-18
blend-bio	BLEND is a Fast, Memory-Efficient, and Accurate Mechanism to Find Fuzzy Seed Matches in Genome Analysis	2023-06-18
gor_pyspark	Python helper function for gor-spark	2023-06-18
sgdemux	Tool for demultiplexing sequencing data generated on Singular Genomics' sequencing instruments.	2023-06-18
metacortex	MetaCortex is an assembler for metagenomic, or environmental sequence data.	2023-06-18
sashimi-py	This is an pure Python version of sashimi plot	2023-06-18
scitrack	SciTrack provides basic logging capabilities to track scientific computations.	2023-06-18
phamb	phamb discovery approach used to isolate metagenome derived viromes and High-quality viral genomes	2023-06-18
stag	A hierarchical taxonomic classifier for metagenomic sequences	2023-06-18
qhery	Identification of mutations in SARS-CoV-2 associated with resistance to treatment.	2023-06-18
bart	bart - a bacterial read type	2023-06-18
marvd2	Metagenomic Archaeal Virus Detector 2	2023-06-18
provean	PROVEAN (Protein Variation Effect Analyzer) is a software tool which predicts whether an amino acid substitution or indel has an impact on the biological function of a protein.	2023-06-18
transcriptm	Metagenomics analyses.	2023-06-18
fxtract	Extract sequences from a fastx file given a subsequence or identifier.	2023-06-18
phcue-ck	phcue-ck (pronounced "F-Q-Seek") is a simple tool to get FTP urls for FASTQ files on ENA.	2023-06-18
quantpi	A general profiling system focus on robust microbiome research	2023-06-18
braid-mrf	Predicting protein complexes	2023-06-18
parallel-virfinder	parallel-virfinder, split virfinder execution in chuncks	2023-06-18
kmerfinder	Prediction of bacterial species using a fast K-mer algorithm.	2023-06-18
mammal	Accelerated Estimation of Frequency Classes in Site-heterogeneous Profile Mixture Models	2023-06-18
jvarkit-bamstats04	Coverage statistics for a BED file.	2023-06-18
vcf2tsvpy	Genomic VCF to tab-separated values (TSV)	2023-06-18
gfmix	Accelerated Estimation of Frequency Classes in Site-heterogeneous Profile Mixture Models	2023-06-18
mvirs	mVIRs: Localisation of inducible prophages using NGS data	2023-06-18
scte	scTE builds genome indices for the fast alignment of reads to genes and TEs.	2023-06-18
hmntrimmer	A trimmer for NGS reads	2023-06-18
sbol-utilities	Collection of scripts and functions for manipulating SBOL 3 data that can be run from the command line or as functions in Python.	2023-06-18
gtftools	gtftools provides a set of functions to compute or extract various features of gene models.	2023-06-18
hmnfusion	Analysis fusion from DNA genomics	2023-06-18
fastkit	Routine pre-processing of biological data e.g. FASTA/FASTQ files	2023-06-18
ibdmix	ibdmix: estimate introgression by IBD	2023-06-18
pardre	ParDRe is a parallel tool to remove duplicate reads.	2023-06-18
quickdeconvolution	Deconvolves linked-reads sequencing data	2023-06-18
seqcomplexity	Calculates Per-Read and Total Sequence Complexity from FastQ file.	2023-06-18
mdmcleaner	A pipeline for the assessment, classification and refinement of microbial dark matter SAGs and MAGs	2023-06-18
fec	An error correction tool	2023-06-18
cogtriangles	low-polynomial algorithm for assembling clusters of orthologous groups from intergenomic symmetric best matches	2023-06-18
microbeannotator	A user friendly microbe genome annotation tool	2023-06-18
feems	Fast Estimation of Effective Migration Surfaces	2023-06-18
gopeaks	Peak caller for CUT&TAG data	2023-06-18
vcferr	Probabilistic VCF genotype error simulation	2023-06-18
bte	Cython wrapper enabling use of the MAT library in Python.	2023-06-18
mgca	Microbial genome component and annotation pipeline	2023-06-18
boquila	NGS read simulator to eliminate read nucleotide bias in sequence analysis.	2023-06-18
gassst	GASSST : Global Alignment Short Sequence Search Tool	2023-06-18
bwa-meme	Faster BWA-MEM2 using learned-index	2023-06-18
propy3	Python library for calculating various protein descriptors from protein sequences	2023-06-18
cogclassifier	Classify prokaryote protein sequences into COG functional category	2023-06-18
perl-alien-libxml2	Install the C libxml2 library on your system	2023-06-18
lmas	LMAS - Last (Meta)Genomic Assembler Standing	2023-06-18
pmlst	Plasmid Multi-Locus Sequence Typing	2023-06-18
parebrick	A bioinf tool for finding genome rearrangements in bacterial genomes	2023-06-18
pyfish	Plotting tool for evolutionary population dynamics. Creates a Fish (Muller) plot.	2023-06-18
gfastats	The swiss army knife for genome assembly.	2023-06-18
prodigal-gv	A fork of Prodigal meant to improve gene calling for giant viruses	2023-06-18
lepwrap	The Snakemake pipeline to use Lep-Map3 to create linkage maps and LepAnchor for anchoring+orienting genome assemblies.	2023-06-18
epytope	A Framework for Epitope Detection and Vaccine Design	2023-06-18
theiacov-gc	Command-line version of the TheiaCov genomic characterization workflow for SARS-CoV-2.	2023-06-18
perl-set-object	Unordered collections (sets) of Perl Objects	2023-06-18
metaomestats	Scripts for calculating statistics from FASTA sequences	2023-06-18
perl-pod-eventual	read a POD document as a series of trivial events	2023-06-18
trimap	TriMap: Large-scale Dimensionality Reduction Using Triplets	2023-06-18
gloome	GLOOME is a program that analyzes the evolution of phyletic patterns within the likelihood framework.	2023-06-18
fastqtk	fastqtk is a fast and lightweight tool for interleaving/deinterleaving/counting/trimming FASTQ files.	2023-06-18
perl-url-encode	Encoding and decoding of application/x-www-form-urlencoded encoding.	2023-06-18
3d-dna	3D de novo assembly (3D-DNA) pipeline.	2023-06-18
linkstats	Collect and process statistics from aligned linked-reads.	2023-06-18
seqlike	Flexible biological sequence objects in Python	2023-06-16
metawrap-mg	MetaWRAP is a pipeline for genome-resolved metagenomic data analysis	2023-06-16
wally	Visualization of aligned sequencing reads and genomic variants.	2023-06-16
dnaweaver	Python library to find optimal strategies for assembling large DNA constructs.	2023-06-16
hamroaster	An analysis pipeline to compare the output of different AMR detection tools and provide metrics of their performance	2023-06-16
mcroni	mcr-1 analysis	2023-06-16
cutqc	generate aggregated fastqc report of both before and after trimming.	2023-06-16
corsid	Core Sequence Identifier	2023-06-16
genview	Gene-centric visualization tool for genomic sequences	2023-06-16
turbocor	A command line tool to compute very large correlation matrices.	2023-06-16
perl-xxx	See Your Data in the Nude	2023-06-16
perl-digest-crc	Generic CRC functions	2023-06-16
perl-moosex-strictconstructor	Make your object constructors blow up on unknown attributes	2023-06-16
proksee	Proksee is a suite of command line tools for performing assembly, annotation and visualization of microbial genomes.	2023-06-16
cirtap	A CLI to handle PATRIC data from the FTP	2023-06-16
cpt_gffparser	A Biopython extension package for I/O of GFF files	2023-06-16
liv_utils	Liverpool University Basic Tools	2023-06-16
bamr	A lightweight Python3 bam reader library	2023-06-16
vafator	VAFator annotates the variants in a VCF file with technical annotations extracted from one or more BAM alignment files. We implement a set of basic coverage annotations and also more sophisticated published annotations used to assess the quality of every variant call.	2023-06-16
seq2onehot	Encode biological sequences to a one-hot numpy array	2023-06-16
onehot2seq	Decode a one-hot numpy array to biological sequences	2023-06-16
harvest-variants	Harvest Variants is a pipeline for variant calling on SARS-CoV-2 samples	2023-06-16
clearcnv	CNV calling package	2023-06-16
gff3toddbj	Create a DDBJ annotation file from GFF3 and FASTA files	2023-06-16
needle	Needle: A fast and space-efficient pre-filter for the quantification of very large collections of nucleotide sequences	2023-06-16
glnexus	scalable gVCF merging and joint variant calling for population sequencing projects.	2023-06-16
sracat	a command-line tool for extracting unordered read data from SRA files	2023-06-16
codingorf	codingorf: The codingorf finds translatable ORFs from an input sequence	2023-06-16
cytocad	Large copy-number variation detector with low-depth whole-genome sequencing data	2023-06-16
dragmap	Dragmap is the Dragen mapper/aligner Open Source Software.	2023-06-16
domino	AMI algorithm with low rate of false calls	2023-06-16
bamaligncleaner	Removes unaligned references in BAM alignment file	2023-06-16
titan-gc	Command-line version of the Titan genomic characterization workflow for viral pathogens of concern.	2023-06-16
irida-staramr-results	IRIDA StarAMR Results program enables StarAMR analysis results that were run through IRIDA to be batch downloaded into a collection of spreadsheets using the command line.	2023-06-16
clusterone	Graph clustering algorithm	2023-06-16
mixem	Expectation-Maximization (EM) algorithm for fitting mixtures of probability distributions	2023-06-16
preface	PREFACE -- PREdict FetAl ComponEnt	2023-06-16
fade	fade is a D program that provides fast identification and removal of enzymatic fragmentation artifacts.	2023-06-16
cuttlefish	Construction of the compacted de Bruijn graph efficiently	2023-06-16
iqkm	Identification and quantification of KEGG Modules in metagenomes/genomes	2023-06-16
alignment	Native Python library for generic sequence alignment.	2023-06-16
cyntenator	progressive gene order alignments	2023-06-16
pycrac	Python NextGen sequencing data processing software	2023-06-16
bioconductor-mesh.eca.eg.db	Mapping table for Equus caballus Gene ID to MeSH	2023-06-16
motulizer	making OTUs from genomes, and stats on them. and even core-genomes	2023-06-16
piemmer	A algorithm to simplify the input for principal component analysis	2023-06-16
multiqc_sav	MultiQC plugin to visualize Illumina SAV plots	2023-06-16
zgtf	gtf conversion utility.	2023-06-16
saspector	A tool for analysis of missing regions in (bacterial) draft genomes.	2023-06-16
simug	A simple, flexible, and powerful tool to simulate genome sequences with pre-defined or random genomic variants.	2023-06-16
noresm	The Norwegian Earth System Model (NorESM) is a coupled climate model for simulating Earth’s climate system	2023-06-16
isoplot	Generate figures from Isocor output	2023-06-16
python-codon-tables	Codon Usage Tables for Python, from kazusa.or.jp	2023-06-16
leviosam	lift-over of alignments for variant-aware references	2023-06-16
smartmap	SmartMap: Bayesian Analysis of Ambiguously Mapped Reads	2023-06-16
ngmaster	In silico multi-antigen sequence typing for Neisseria gonorrhoeae (NG-MAST) and Neisseria gonorrhoeae sequence typing for antimicrobial resistance (NG-STAR)	2023-06-16
ffindex-dbkit	Tools to create ffindex files	2023-06-16
troika-tb	A pipeline implementing TB-Profiler for batch detection and reporting of anti-microbial resistance in TB for public health and clinical use.	2023-06-16
unimap	Unimap is a fork of minimap2 optimized for assembly-to-reference alignment.	2023-06-16
leehom	Maximum-likelihood adapter trimming and removal	2023-06-16
simbac	SimBac simulates bacterial genomes with the clonal genealogy under a coalescent model with recombination.	2023-06-16
machina	Metastatic And Clonal History INtegrative Analysis	2023-06-16
mapula	Calculation of alignment statistics	2023-06-16
cassis	Detection of genomic rearrangement breakpoints	2023-06-16
samap	The SAMap algorithm	2023-06-16
jvarkit-wgscoverageplotter	Whole genome BAM coverage plotter	2023-06-16
covid-spike-classification	Detect interesting SARS-CoV-2 spike protein variants from Sanger sequencing data.	2023-06-16
reportfunk	Central set of functions generally useful for civet, llama and any report generating tools that may exist in the future	2023-06-16
ptools_bin	Installation for ptools scripts.	2023-06-16
wgdi	Whole Genome Duplication Identification	2023-06-16
megatron	MEGATRON - MEGA TRajectories of clONes	2023-06-16
tatajuba	Identification and classification of homopolymeric tracts from reads	2023-06-16
spatyper	Computational method for finding spa types.	2023-06-16
pulchra	A tool for all-atom reconstruction and refinement of reduced protein models	2023-06-16
datafunk	Miscellaneous data manipulation tools for fasta and sam files	2023-06-16
haystac	Species identification pipeline for both single species and metagenomic samples.	2023-06-16
markov_clustering	This module implements the MCL algorithm in python.	2023-06-16
gamma	Tool for Gene Allele Mutation Microbial Assessment	2023-06-16
qax	Extract data, metadata, bibliography and provenance from Qiime2 artifacts	2023-06-16
kmer-db	Kmer-db is a fast and memory-efficient tool for estimating evolutionary distances.	2023-06-16
correlationplus	A Python package to calculate, visualize and analyze dynamical correlations of proteins.	2023-06-16
slimfastq	slimfastq would efficiently compresses/decompresses fastq files	2023-06-16
gem2	GEM2 is a high-performance mapping tool. It also provide a unique tool to evaluate mappability.	2023-06-16
kakscalculator2	KaKs_Calculator2.0 calculates Ka and Ks.	2023-06-16
krakmeopen	A Kraken 2 downstream analysis toolkit. Calculate quality metrics for Kraken 2 classifications.	2023-06-16
perl-fast	FAST Analysis of Sequences Toolbox	2023-06-16
perl-sort-key	the fastest way to sort anything in Perl	2023-06-16
rustynuc	Quick analysis of pileups for likely 8-oxoG locations	2023-06-16
phylobayes-mpi	A Bayesian software for phylogentic reconstrunction using mixture models	2023-06-16
fanc	Framework for the ANalysis of C-data.	2023-06-16
vsclust	Interactive tool for statistical testing, data browsing and interactive visualization of quantitative omics data	2023-06-16
mmult	Multiple sample analysis from large-scale WGBS data	2023-06-16
minirmd	Remove duplicate and near-duplicate reads	2023-06-16
pan-plaster	Plaster is a program for quick linear pangenome construction.	2023-06-16
flippyr	This package is designed to align a PLINK fileset with a FASTA reference genome.	2023-06-16
cmip	CMIP Classical Molecular Interaction Potentials	2023-06-16
paraclu	Paraclu finds clusters in data attached to sequences.	2023-06-16
pydownsampler	A Python package for downsampling sequence alignment files	2023-06-16
genomic_regions	Consistently handle genomic regions	2023-06-16
mnnpy	Mutual nearest neighbors correction in python.	2023-06-16
varifier	varifier: variant call verification	2023-06-16
metapop	A pipeline for the macro- and micro-diversity analyses and visualization of metagenomic-derived populations	2023-06-16
bacphlip	A Random Forest classifier to predict bacteriophage lifestyle	2023-06-16
pydp	PyDP is library for implementing Dirichlet Process mixture models (DPMM)	2023-06-16
fastg2protlib	FASTG sequences to a protein library.	2023-06-16
opentargets-urlzsource	File and url handling	2023-06-16
gefast	Clustering tool using Swarm's clustering strategy and Pass-Join's segment filter.	2023-06-16
macse	MACSE: Multiple Alignment of Coding SEquences Accounting for Frameshifts and Stop Codons.	2023-06-16
scapp	Plasmid assembly in metagenomes	2023-06-16
bwa-mem2	The next version of bwa-mem	2023-06-16
tbox-scan	tbox-scan is for detecting and classifying T-boxes in DNA sequences.	2023-06-16
plasclass	Classification of plasmid sequences	2023-06-16
ngsep	NGSEP - Next Generation Sequencing Experience Platform	2023-06-16
mtglink	MTG-link is a local assembly tool for linked-read data	2023-06-16
bamkit	Tools for common BAM file manipulations	2023-06-16
gmgc-mapper	Map genes and genome to the Global Microbial Gene Catalog (GMGC)	2023-06-16
sequnwinder	SeqUnwinder is a framework for characterizing class-discriminative motifs in a collection of genomic loci that have several (overlapping) annotation labels.	2023-06-16
pblat	blat with multi-threads support	2023-06-16
treerecs	correct, rearrange and (re-)root gene trees with regard to a given species tree	2023-06-16
marvel	MARVEL: Metagenomic Analyses and Retrieval of Viral Elements	2023-06-16
stark	A tool for bluntifying a bidirected de bruijn graph by removing overlaps.	2023-06-16
perl-if	use a Perl module if a condition holds	2023-06-16
comparem	A toolbox for comparative genomics.	2023-06-16
cansnper2	A toolkit for SNP-typing bacterial genomes.	2023-06-16
genometreetk	A toolbox for working with genome trees.	2023-06-16
start-asap	Prepare project directory and project sheet for ASA3P	2023-06-16
pygvcf2coverage	Python tool to extra coverage from gVCF files.	2023-06-16
unfazed	Extended read-backed and allele-balance phasing for de novo variation (SNVs, INDELS, SVs, and CNVs)	2023-06-16
targetdb	Package with an application to generate report on potential drug targets	2023-06-16
nanopolishcomp	NanopolishComp is a Python3 package for downstream analyses of Nanopolish output files	2023-06-16
bedparse	A simple library and CLI tool to manipulate BED files	2023-06-16
gifrop	Identify, classify, and cluster genomic islands from roary pangenomes	2023-06-16
deepaclive	Detecting novel pathogens from NGS reads in real-time during a sequencing run.	2023-06-16
cnvpytor	Python extension of CNVnator	2023-06-16
mergenotcombined	Merge Forward and reverse reads from fastq files	2023-06-16
bttoxin_digger	A toxin minging tool for Bacillus thuringiensis	2023-06-16
bttcmp	A toxin minging tool for Bacillus thuringiensis	2023-06-16
tag	Genome annotation data analysis and management implemented in pure Python.	2023-06-16
abacat	abacat - A BActerial genome Curation and Annotation Toolkit	2023-06-16
plasmidid	Pipeline for plasmid identification and reconstruction	2023-06-16
treesapp	TreeSAPP is a functional and taxonomic annotation tool for microbial genomes and proteins	2023-06-16
strling	STRling (pronounced like “sterling”) is a method to detect large STR expansions from short-read sequencing data.	2023-06-16
seqstats	Quick summary statistics on fasta/fastq(.gz) files	2023-06-16
snpgenie	Program for estimating πN/πS, dN/dS, and other diversity measures from next-generation sequencing data	2023-06-16
hiline	HiC alignment and classification pipeline.	2023-06-16
binlorry	BinLorry, a flexible tool for binning and filtering sequencing reads	2023-06-16
bttoxin_scanner	A toxin exploration tool for Bacillus thuringiensis	2023-06-16
sensv	SENSV	2023-06-16
phylorank	PhyloRank provides functionality for calculating the relative evolutionary
divergence (RED) of taxa in a tree and for finding the best placement of
taxonomic labels in a tree.	2023-06-16
svim-asm	SVIM-asm is a fork of the SV caller SVIM for genome-genome alignments.	2023-06-16
yamda	A highly scalable GPU-accelerated de novo motif discovery software package	2023-06-16
gaas	Suite of tools related to Genome Assembly Annotation Service tasks at NBIS.	2023-06-16
sketchy	Real-time lineage hashing and genotyping of bacterial pathogens	2023-06-16
perl-yaml-pp	YAML 1.2 Processor	2023-06-16
perl-io-null	class for null filehandles	2023-06-16
goetia	streaming de Bruijn graph compaction and sketching.	2023-06-16
rkp	Relative K-mer Project	2023-06-16
r-transphylo	Reconstruction of transmission trees using genomic data	2023-06-16
yapc	Yapc is a (yet another) peak caller for genomic high-throughput sequencing data	2023-06-16
callstate	A replacement for GATK3 CallableLoci	2023-06-16
sigmut	Wrapper of SigProfiler (Copyright(c) 2019, Erik Bergstrom [Alexandrov Lab])	2023-06-16
pyslim	Manipulate tree sequences produced by SLiM.	2023-06-16
pgx-pipe-helper	A helper module for wrapping functionality which is common to all pipeline stages.	2023-06-16
geosketch	Geometry-preserving random sampling	2023-06-16
ltr_finder	LTR_Finder is an efficient program for finding full-length LTR retrotranspsons in genome sequences.	2023-06-16
